method,power,value
epsilon-greedy,-7,1.185
epsilon-greedy,-6,1.248
epsilon-greedy,-5,1.311
epsilon-greedy,-4,1.328
epsilon-greedy,-3,1.254
epsilon-greedy,-2,1.114
opt-greedy,-2,1.313
opt-greedy,-1,1.411
opt-greedy,0,1.449
opt-greedy,1,1.397
opt-greedy,2,1.320
ucb,-4,1.409
ucb,-3,1.410
ucb,-2,1.416
ucb,-1,1.441
ucb,0,1.471
ucb,1,1.433
ucb,2,1.185
gradient-bandit,-5,1.089
gradient-bandit,-4,1.244
gradient-bandit,-3,1.349
gradient-bandit,-2,1.406
gradient-bandit,-1,1.390
gradient-bandit,0,1.295
gradient-bandit,1,1.105
gradient-bandit,2,0.934
